,Column1
0,random.seed
1,random.getstate
2,random.setstate
3,random.randbytes
4,random.randrange
5,random.randint
6,random.getrandbits
7,random.choice
8,random.choices
9,random.shuffle
10,random.sample
11,random.binomialvariate
12,random.random
13,random.uniform
14,random.triangular
15,random.betavariate
16,random.expovariate
17,random.gammavariate
18,random.gauss
19,random.lognormvariate
20,random.normalvariate
21,random.vonmisesvariate
22,random.paretovariate
23,random.weibullvariate
24,random.Random
25,random.Random
26,random.Random
27,random.Random
28,random.Random
29,random.Random
30,random.SystemRandom
